slot,timestamp,action_count,adds,removes,actions,placement_before,placement_after,demand,attachment_points,total_requests,demand_pairs,covered_pairs_after,uncovered_pairs_after,coverage_ratio_after,objective,R_nominal,B_nominal,R_wc,B_wc,Op_cost,solve_time,status
20,19,3,2,1,"ADD:4,0;ADD:6,7;REMOVE:5,2",0:-;1:-;2:-;3:-;4:-;5:2;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:0;5:-;6:7;7:-;8:-;9:-,4@0=1;6@2=1;6@7=2,"0,2,7",4,3,3,0,1.0,0.8745439070684475,1.0,0.07454390706844753,0.0,0.0,0.2,0.20018482208251953,Feasible|selected=beam_search
21,20,4,2,2,"ADD:2,9;ADD:4,4;REMOVE:4,0;REMOVE:6,7",0:-;1:-;2:-;3:-;4:0;5:-;6:7;7:-;8:-;9:-,0:-;1:-;2:9;3:-;4:4;5:-;6:-;7:-;8:-;9:-,2@9=1;4@4=1,"9,4",2,2,2,0,1.0,0.9039407142138565,1.0,0.10394071421385646,0.0,0.0,0.2,0.19447970390319824,Feasible|selected=greedy
22,21,3,1,2,"ADD:4,2;REMOVE:2,9;REMOVE:4,4",0:-;1:-;2:9;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:2;5:-;6:-;7:-;8:-;9:-,4@0=1;4@2=1;4@4=1,"0,2,4",3,3,3,0,1.0,0.9324070163351464,1.0,0.032407016335146525,0.0,0.0,0.1,0.1845860481262207,Feasible|selected=greedy
23,22,2,1,1,"ADD:4,7;REMOVE:4,2",0:-;1:-;2:-;3:-;4:2;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:-;8:-;9:-,4@1=1;4@2=2;4@7=1,"1,2,7",4,3,3,0,1.0,0.9248337717634642,1.0,0.024833771763464026,0.0,0.0,0.1,0.18581318855285645,Feasible|selected=beam_search
24,23,3,2,1,"ADD:5,9;ADD:6,3;REMOVE:4,7",0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:-;5:9;6:3;7:-;8:-;9:-,5@9=1;6@3=1,"9,3",2,2,2,0,1.0,0.898808193720346,1.0,0.09880819372034608,0.0,0.0,0.2,0.1693708896636963,Feasible|selected=beam_search
25,24,3,2,1,"ADD:4,2;ADD:6,1;REMOVE:6,3",0:-;1:-;2:-;3:-;4:-;5:9;6:3;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:2;5:9;6:1;7:-;8:-;9:-,4@2=1;5@2=1;5@6=1;6@1=1,"2,6,1",4,4,4,0,1.0,0.35097798698714205,0.5,0.050977986987142086,0.0,0.0,0.2,0.1957550048828125,Feasible|selected=beam_search
26,25,5,2,3,"ADD:4,5;ADD:4,6;REMOVE:4,2;REMOVE:5,9;REMOVE:6,1",0:-;1:-;2:-;3:-;4:2;5:9;6:1;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:5|6;5:-;6:-;7:-;8:-;9:-,4@5=2;4@6=2,"5,6",4,2,2,0,1.0,0.9130091608822581,1.0,0.11300916088225806,0.0,0.0,0.2,0.17529082298278809,Feasible|selected=beam_search
27,26,4,2,2,"ADD:4,7;ADD:5,4;REMOVE:4,5;REMOVE:4,6",0:-;1:-;2:-;3:-;4:5|6;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:4;6:-;7:-;8:-;9:-,4@1=2;4@4=1;4@7=1;4@9=1;5@4=1,"1,4,7,9",6,5,5,0,1.0,0.8286042771393995,1.0,0.028604277139399607,0.0,0.0,0.2,0.1978011131286621,Feasible|selected=beam_search
28,27,4,2,2,"ADD:4,0;ADD:6,2;REMOVE:4,7;REMOVE:5,4",0:-;1:-;2:-;3:-;4:7;5:4;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:0;5:-;6:2;7:-;8:-;9:-,4@7=1;6@2=1,"7,2",2,2,2,0,1.0,0.8541661570930872,1.0,0.05416615709308722,0.0,0.0,0.2,0.176497220993042,Feasible|selected=beam_search
29,28,6,4,2,"ADD:2,7;ADD:4,3;ADD:5,5;ADD:6,6;REMOVE:4,0;REMOVE:6,2",0:-;1:-;2:-;3:-;4:0;5:-;6:2;7:-;8:-;9:-,0:-;1:-;2:7;3:-;4:3;5:5;6:6;7:-;8:-;9:-,2@0=1;2@1=1;2@2=1;2@3=1;2@6=1;4@3=1;5@5=1;6@1=2;6@6=1,"0,1,2,3,6,5",10,9,9,0,1.0,0.6326280699407355,1.0,0.03262806994073555,0.0,0.0,0.4,0.2565288543701172,Feasible|selected=greedy
30,29,4,1,3,"ADD:4,4;REMOVE:2,7;REMOVE:4,3;REMOVE:5,5",0:-;1:-;2:7;3:-;4:3;5:5;6:6;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:4;5:-;6:6;7:-;8:-;9:-,4@4=1;4@6=1;4@8=1;6@4=1,"4,6,8",4,4,4,0,1.0,0.6792956600963318,0.75,0.029295660096331742,0.0,0.0,0.1,0.19630098342895508,Feasible|selected=beam_search
31,30,4,2,2,"ADD:4,2;ADD:6,8;REMOVE:4,4;REMOVE:6,6",0:-;1:-;2:-;3:-;4:4;5:-;6:6;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:2;5:-;6:8;7:-;8:-;9:-,4@0=1;4@2=2;4@5=1;6@2=1;6@1=1;6@8=1,"0,2,5,1,8",7,6,6,0,1.0,0.841885384081503,1.0,0.04188538408150308,0.0,0.0,0.2,0.21061396598815918,Feasible|selected=beam_search
32,31,5,3,2,"ADD:3,6;ADD:4,6;ADD:5,1;REMOVE:4,2;REMOVE:6,8",0:-;1:-;2:-;3:-;4:2;5:-;6:8;7:-;8:-;9:-,0:-;1:-;2:-;3:6;4:6;5:1;6:-;7:-;8:-;9:-,3@6=1;4@6=1;4@4=1;5@1=1,"6,4,1",4,4,4,0,1.0,0.7763665486558442,1.0,0.0763665486558442,0.0,0.0,0.30000000000000004,0.19323015213012695,Feasible|selected=beam_search
33,32,6,3,3,"ADD:4,8;ADD:5,7;ADD:6,7;REMOVE:3,6;REMOVE:4,6;REMOVE:5,1",0:-;1:-;2:-;3:6;4:6;5:1;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:8;5:7;6:7;7:-;8:-;9:-,4@4=1;4@7=1;4@8=1;5@7=1;5@1=1;6@1=1;6@0=1;6@2=1,"4,7,8,1,0,2",8,8,8,0,1.0,0.7212537412460596,1.0,0.021253741246059506,0.0,0.0,0.30000000000000004,0.24428582191467285,Feasible|selected=greedy
34,33,4,1,3,"ADD:4,4;REMOVE:4,8;REMOVE:5,7;REMOVE:6,7",0:-;1:-;2:-;3:-;4:8;5:7;6:7;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,4@4=1,4,1,1,1,0,1.0,1.0154298386556069,1.0,0.11542983865560696,0.0,0.0,0.1,0.16185927391052246,Feasible|selected=greedy
35,34,3,2,1,"ADD:4,9;ADD:6,7;REMOVE:4,4",0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:9;5:-;6:7;7:-;8:-;9:-,4@3=1;4@6=1;6@4=1;6@9=1,"3,6,4,9",4,4,4,0,1.0,0.8,1.0,0.0,0.0,0.0,0.2,0.2042832374572754,Feasible|selected=greedy
36,35,4,3,1,"ADD:3,8;ADD:4,7;ADD:5,3;REMOVE:4,9",0:-;1:-;2:-;3:-;4:9;5:-;6:7;7:-;8:-;9:-,0:-;1:-;2:-;3:8;4:7;5:3;6:7;7:-;8:-;9:-,3@8=1;4@4=1;4@7=1;4@9=1;5@3=2;6@0=2;6@2=1;6@6=1,"8,4,7,9,3,0,2,6",10,8,8,0,1.0,0.23967500190495994,0.5,0.03967500190496,0.0,0.0,0.30000000000000004,0.266115665435791,Feasible|selected=greedy
37,36,4,1,3,"ADD:4,1;REMOVE:3,8;REMOVE:4,7;REMOVE:5,3",0:-;1:-;2:-;3:8;4:7;5:3;6:7;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:1;5:-;6:7;7:-;8:-;9:-,4@1=1;6@0=1;6@6=1,"1,0,6",3,3,3,0,1.0,0.6850537558494847,0.75,0.035053755849484634,0.0,0.0,0.1,0.19140887260437012,Feasible|selected=greedy
38,37,4,2,2,"ADD:4,6;ADD:6,9;REMOVE:4,1;REMOVE:6,7",0:-;1:-;2:-;3:-;4:1;5:-;6:7;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:6;5:-;6:9;7:-;8:-;9:-,4@6=1;6@3=1;6@9=1,"6,3,9",3,3,3,0,1.0,0.8693810427764541,1.0,0.06938104277645402,0.0,0.0,0.2,0.1877119541168213,Feasible|selected=greedy
39,38,4,2,2,"ADD:4,7;ADD:6,4;REMOVE:4,6;REMOVE:6,9",0:-;1:-;2:-;3:-;4:6;5:-;6:9;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:4;7:-;8:-;9:-,4@3=1;4@7=1;6@4=1,"3,7,4",3,3,3,0,1.0,0.8618914657032108,1.0,0.06189146570321083,0.0,0.0,0.2,0.1930220127105713,Feasible|selected=greedy
40,39,4,2,2,"ADD:2,2;ADD:4,8;REMOVE:4,7;REMOVE:6,4",0:-;1:-;2:-;3:-;4:7;5:-;6:4;7:-;8:-;9:-,0:-;1:-;2:2;3:-;4:8;5:-;6:-;7:-;8:-;9:-,2@0=1;2@2=2;2@4=1;2@8=1;4@4=1;4@1=1,"0,2,4,8,1",7,6,6,0,1.0,0.8314789263528917,1.0,0.03147892635289154,0.0,0.0,0.2,0.21947216987609863,Feasible|selected=greedy
41,40,4,3,1,"ADD:2,1;ADD:5,4;ADD:6,6;REMOVE:2,2",0:-;1:-;2:2;3:-;4:8;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:1;3:-;4:8;5:4;6:6;7:-;8:-;9:-,2@1=3;4@8=1;5@4=1;6@6=1,"1,8,4,6",6,4,4,0,1.0,0.29826419647757973,0.5,0.09826419647757981,0.0,0.0,0.30000000000000004,0.2107079029083252,Feasible|selected=greedy
42,41,5,2,3,"ADD:4,2;ADD:6,2;REMOVE:2,1;REMOVE:4,8;REMOVE:6,6",0:-;1:-;2:1;3:-;4:8;5:4;6:6;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:2;5:4;6:2;7:-;8:-;9:-,4@0=1;4@4=1;4@5=1;4@9=1;5@4=1;6@2=1,"0,4,5,9,2",6,6,6,0,1.0,0.5813898523996084,0.75,0.03138985239960834,0.0,0.0,0.2,0.22605490684509277,Feasible|selected=greedy
43,42,5,2,3,"ADD:4,6;ADD:6,9;REMOVE:4,2;REMOVE:5,4;REMOVE:6,2",0:-;1:-;2:-;3:-;4:2;5:4;6:2;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:6;5:-;6:9;7:-;8:-;9:-,4@6=1;6@9=1,"6,9",2,2,2,0,1.0,0.9103170554626014,1.0,0.11031705546260136,0.0,0.0,0.2,0.1795799732208252,Feasible|selected=beam_search
44,43,3,1,2,"ADD:4,2;REMOVE:4,6;REMOVE:6,9",0:-;1:-;2:-;3:-;4:6;5:-;6:9;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:2;5:-;6:-;7:-;8:-;9:-,4@2=1,2,1,1,1,0,1.0,0.9833080284851511,1.0,0.08330802848515109,0.0,0.0,0.1,0.16646814346313477,Feasible|selected=greedy
45,44,2,1,1,"ADD:4,8;REMOVE:4,2",0:-;1:-;2:-;3:-;4:2;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,4@2=1;4@4=1;4@5=1;4@8=2,"2,4,5,8",5,4,4,0,1.0,0.9364107410954613,1.0,0.03641074109546118,0.0,0.0,0.1,0.19471192359924316,Feasible|selected=greedy
46,45,4,3,1,"ADD:4,2;ADD:4,9;ADD:6,2;REMOVE:4,8",0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:2|9;5:-;6:2;7:-;8:-;9:-,4@0=1;4@1=1;4@4=1;4@9=2;6@2=1,"0,1,4,9,2",6,5,5,0,1.0,0.7530965368037663,1.0,0.05309653680376636,0.0,0.0,0.30000000000000004,0.2216658592224121,Feasible|selected=beam_search
47,46,6,4,2,"ADD:3,4;ADD:5,1;ADD:6,5;ADD:6,6;REMOVE:4,9;REMOVE:6,2",0:-;1:-;2:-;3:-;4:2|9;5:-;6:2;7:-;8:-;9:-,0:-;1:-;2:-;3:4;4:2;5:1;6:5|6;7:-;8:-;9:-,3@4=1;4@2=1;4@8=1;5@1=1;6@5=1;6@6=1,"4,2,8,1,5,6",6,6,6,0,1.0,0.34261229631789225,0.6666666666666666,0.07594562965122562,0.0,0.0,0.4,0.2614161968231201,Feasible|selected=beam_search
48,47,6,1,5,"ADD:4,8;REMOVE:3,4;REMOVE:4,2;REMOVE:5,1;REMOVE:6,5;REMOVE:6,6",0:-;1:-;2:-;3:4;4:2;5:1;6:5|6;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,4@1=1;4@4=1,"1,4",2,2,2,0,1.0,0.9,1.0,0.0,0.0,0.0,0.1,0.20751690864562988,Feasible|selected=greedy
49,48,2,1,1,"ADD:4,7;REMOVE:4,8",0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:-;8:-;9:-,4@4=1;4@9=1,"4,9",2,2,2,0,1.0,0.9,1.0,0.0,0.0,0.0,0.1,0.20439982414245605,Feasible|selected=greedy
50,49,2,2,0,"ADD:6,2;ADD:7,9",0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:2;7:9;8:-;9:-,4@1=1;4@2=1;4@7=1;6@2=1,"1,2,7",4,4,4,0,1.0,-0.15229059996712693,0.0,0.04770940003287307,0.0,0.0,0.2,0.3291342258453369,Feasible|selected=greedy
51,50,3,1,2,"ADD:5,6;REMOVE:6,2;REMOVE:7,9",0:-;1:-;2:-;3:-;4:7;5:-;6:2;7:9;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:6;6:-;7:-;8:-;9:-,4@0=1;4@1=1;4@7=1;5@6=1,"0,1,7,6",4,4,4,0,1.0,0.6106954841102293,0.6666666666666666,0.044028817443562726,0.0,0.0,0.1,0.31368303298950195,Feasible|selected=greedy
52,51,5,4,1,"ADD:1,0;ADD:1,1;ADD:4,8;ADD:5,1;REMOVE:5,6",0:-;1:-;2:-;3:-;4:7;5:6;6:-;7:-;8:-;9:-,0:-;1:0|1;2:-;3:-;4:7|8;5:1;6:-;7:-;8:-;9:-,1@0=1;1@1=1;4@0=1;4@2=1;4@3=1;4@4=1;4@5=1;4@7=1;4@8=1;5@1=1;5@6=1,"0,1,2,3,4,5,7,8,6",11,11,11,0,1.0,0.14629697915520024,0.5,0.046296979155200285,0.0,0.0,0.4,0.40868616104125977,Feasible|selected=beam_search
53,52,8,3,5,"ADD:4,5;ADD:5,7;ADD:6,1;REMOVE:1,0;REMOVE:1,1;REMOVE:4,7;REMOVE:4,8;REMOVE:5,1",0:-;1:0|1;2:-;3:-;4:7|8;5:1;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:5;5:7;6:1;7:-;8:-;9:-,4@5=1;5@0=1;5@1=1;6@1=1,"5,0,1",4,4,4,0,1.0,0.7531091135380574,1.0,0.0531091135380574,0.0,0.0,0.30000000000000004,0.23736119270324707,Feasible|selected=greedy
54,53,4,1,3,"ADD:4,2;REMOVE:4,5;REMOVE:5,7;REMOVE:6,1",0:-;1:-;2:-;3:-;4:5;5:7;6:1;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:2;5:-;6:-;7:-;8:-;9:-,4@2=1,2,1,1,1,0,1.0,1.0143445428859867,1.0,0.11434454288598679,0.0,0.0,0.1,0.19157910346984863,Feasible|selected=beam_search
55,54,4,3,1,"ADD:3,9;ADD:4,7;ADD:6,1;REMOVE:4,2",0:-;1:-;2:-;3:-;4:2;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:9;4:7;5:-;6:1;7:-;8:-;9:-,3@9=1;4@1=1;4@2=1;4@3=1;4@4=1;4@6=1;4@7=1;6@1=1,"9,1,2,3,4,6,7",8,8,8,0,1.0,0.7398254389173817,1.0,0.0398254389173817,0.0,0.0,0.30000000000000004,0.29769182205200195,Feasible|selected=greedy
56,55,5,3,2,"ADD:1,1;ADD:3,4;ADD:6,2;REMOVE:3,9;REMOVE:6,1",0:-;1:-;2:-;3:9;4:7;5:-;6:1;7:-;8:-;9:-,0:-;1:1;2:-;3:4;4:7;5:-;6:2;7:-;8:-;9:-,1@1=1;3@4=1;4@7=1;6@2=1,"1,4,7,2",4,4,4,0,1.0,0.45737746053616135,0.6666666666666666,0.09071079386949474,0.0,0.0,0.30000000000000004,0.2678408622741699,Feasible|selected=greedy
57,56,6,3,3,"ADD:2,1;ADD:5,9;ADD:6,4;REMOVE:1,1;REMOVE:3,4;REMOVE:6,2",0:-;1:1;2:-;3:4;4:7;5:-;6:2;7:-;8:-;9:-,0:-;1:-;2:1;3:-;4:7;5:9;6:4;7:-;8:-;9:-,2@1=1;4@7=1;5@9=1;6@4=1,"1,7,9,4",4,4,4,0,1.0,0.5425474778482475,0.75,0.09254747784824752,0.0,0.0,0.30000000000000004,0.2970850467681885,Feasible|selected=greedy
58,57,8,4,4,"ADD:2,7;ADD:4,2;ADD:5,1;ADD:6,0;REMOVE:2,1;REMOVE:4,7;REMOVE:5,9;REMOVE:6,4",0:-;1:-;2:1;3:-;4:7;5:9;6:4;7:-;8:-;9:-,0:-;1:-;2:7;3:-;4:2;5:1;6:0;7:-;8:-;9:-,2@1=1;2@3=1;2@4=2;2@6=2;4@2=1;5@1=1;6@0=1,"1,3,4,6,2,0",9,7,7,0,1.0,0.6376729359857879,1.0,0.03767293598578784,0.0,0.0,0.4,0.28183722496032715,Feasible|selected=greedy
59,58,7,3,4,"ADD:3,2;ADD:4,8;ADD:5,4;REMOVE:2,7;REMOVE:4,2;REMOVE:5,1;REMOVE:6,0",0:-;1:-;2:7;3:-;4:2;5:1;6:0;7:-;8:-;9:-,0:-;1:-;2:-;3:2;4:8;5:4;6:-;7:-;8:-;9:-,3@2=1;4@1=1;4@5=1;4@7=1;5@4=1,"2,1,5,7,4",5,5,5,0,1.0,0.7367478905748113,1.0,0.03674789057481136,0.0,0.0,0.30000000000000004,0.3188211917877197,Feasible|selected=greedy
